,ST166Q02HA,ST166Q05HA,ST216Q01HA,ST216Q02HA,ST216Q03HA,FL167Q01HA,FL167Q02HA,FL167Q04HA,GRADE,MISCED,FISCED,BMMJ1,BFMJ2,BSMJ,literacy,sisced
73099,6.0,6.0,4.0,4.0,4.0,1.0,1.0,1.0,-1.0,0.0,0.0,17.0,15.35,30.78,362.5818,5.0
73100,6.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,6.0,6.0,82.41,71.39,88.96,480.8292,6.0
73101,4.0,6.0,1.0,3.0,1.0,3.0,4.0,4.0,0.0,6.0,6.0,54.55,57.68,81.92,609.8208000000001,6.0
73103,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,6.0,1.0,68.88,47.42,56.57,490.40520000000004,2.0
73105,6.0,6.0,3.0,2.0,5.0,4.0,2.0,4.0,0.0,2.0,0.0,26.64,13.34,85.85,584.5465,6.0
73107,6.0,6.0,2.0,1.0,4.0,1.0,3.0,3.0,-1.0,2.0,4.0,25.06,43.33,85.85,502.4043,1.0
73108,5.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,6.0,2.0,81.05,22.57,73.91,547.8906,6.0
73109,4.0,6.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,16.5,51.5,51.5,496.6193999999999,2.0
73110,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,-2.0,6.0,6.0,16.5,27.81,16.34,424.84219999999993,1.0
73111,6.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,1.0,5.0,24.53,25.04,83.09,489.85569999999996,6.0
73115,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,-2.0,5.0,1.0,16.38,25.95,86.72,493.22070000000014,6.0
73117,6.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,6.0,6.0,75.5,65.01,88.7,617.8286,6.0
73119,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,2.0,1.0,26.64,30.78,80.92,631.3821,6.0
73120,6.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,1.0,16.38,22.77,78.76,581.3088,6.0
73124,6.0,6.0,3.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,17.0,37.83,85.85,521.8679999999999,6.0
73125,6.0,6.0,2.0,1.0,1.0,3.0,3.0,3.0,0.0,6.0,6.0,71.39,57.03,79.05,451.34250000000003,6.0
73129,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,5.0,1.0,17.0,16.34,29.18,425.26099999999997,2.0
73131,6.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,6.0,6.0,82.41,65.01,88.7,524.7399,6.0
73133,3.0,1.0,5.0,4.0,3.0,1.0,1.0,2.0,0.0,4.0,2.0,28.48,57.03,80.46,438.4997,3.0
73136,6.0,6.0,2.0,5.0,5.0,2.0,1.0,3.0,0.0,6.0,6.0,78.69,77.1,70.34,630.1639000000001,6.0
73140,6.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,0.0,6.0,6.0,65.01,81.13,79.49,570.3475999999999,6.0
73142,5.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,6.0,6.0,79.74,85.41,79.74,586.2271999999999,6.0
73145,6.0,6.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,51.56,22.16,70.34,496.61350000000004,6.0
73148,6.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,44.94,85.41,81.92,547.0732,6.0
73149,6.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,6.0,5.0,74.79,57.03,65.23,519.5507,6.0
73150,6.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,76.49,60.92,88.7,714.0338,6.0
73151,5.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,23.47,43.33,79.05,565.0202,6.0
73152,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,16.38,33.76,29.18,477.7901,6.0
73154,3.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,0.0,3.0,3.0,57.99,33.76,76.65,577.0939000000001,3.0
73155,5.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,0.0,3.0,3.0,35.7,35.7,79.05,648.2917,6.0
73156,6.0,6.0,2.0,1.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,26.64,17.0,86.72,576.4553000000001,6.0
73157,4.0,6.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,6.0,6.0,55.25,50.37,85.85,505.4611,6.0
73158,6.0,6.0,3.0,2.0,3.0,4.0,3.0,2.0,-1.0,4.0,2.0,18.13,36.97,51.35,581.506,5.0
73159,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,14.21,57.03,46.76,497.858,6.0
73160,6.0,6.0,3.0,3.0,3.0,4.0,3.0,3.0,-1.0,2.0,2.0,28.48,30.78,78.17,382.9275,3.0
73161,5.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,4.0,4.0,31.08,30.34,29.18,477.2371999999999,3.0
73162,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,4.0,3.0,36.92,14.21,74.66,620.1615,6.0
73163,6.0,6.0,4.0,2.0,2.0,3.0,4.0,4.0,0.0,6.0,6.0,26.64,72.83,75.13,562.8564,6.0
73168,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,-1.0,2.0,2.0,31.08,28.52,50.9,412.1902,3.0
73170,6.0,6.0,3.0,3.0,4.0,1.0,1.0,2.0,0.0,6.0,6.0,70.34,36.92,82.41,519.5525,6.0
73171,5.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,0.0,4.0,4.0,26.64,70.34,70.34,462.4535000000001,6.0
73172,4.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,6.0,6.0,81.92,57.04,84.14,582.2399,6.0
73174,6.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,6.0,6.0,16.5,57.03,80.46,553.8486,6.0
73175,6.0,6.0,3.0,3.0,4.0,2.0,3.0,3.0,0.0,6.0,6.0,76.65,71.39,81.92,655.0809999999999,6.0
73176,6.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,-3.0,6.0,6.0,71.39,40.54,39.73,470.379,6.0
73178,4.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,-1.0,2.0,0.0,17.0,26.62,84.14,376.7213,5.0
73179,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,6.0,3.0,75.54,25.95,88.31,551.7751000000001,6.0
73180,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,24.98,55.03,88.7,546.9821,6.0
73181,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,2.0,2.0,50.15,50.15,53.15,441.06350000000003,6.0
73182,5.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,0.0,4.0,3.0,23.57,35.34,36.35,547.3983999999999,6.0
73183,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,0.0,1.0,21.64,50.15,62.45,450.57949999999994,4.0
73184,5.0,3.0,4.0,5.0,5.0,2.0,3.0,2.0,0.0,6.0,4.0,74.79,51.5,50.9,587.5322,6.0
73187,5.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,6.0,5.0,68.7,23.8,80.46,584.8399000000001,6.0
73189,6.0,6.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,4.0,2.0,35.34,29.16,88.7,552.9339,6.0
