"","X","ST166Q02HA","ST166Q05HA","ST216Q01HA","ST216Q02HA","ST216Q03HA","FL167Q01HA","FL167Q02HA","FL167Q04HA","GRADE","MISCED","FISCED","BMMJ1","BFMJ2","BSMJ","literacy","sisced","COGFLEX","FLFAMILY","METASPAM"
"1",73099,6,6,4,4,4,1,1,1,-1,0,0,17,15.35,30.78,362.5818,5,2.04129831335981,-1.69146723648415,0.553794608158519
"2",73100,6,5,2,1,1,1,2,2,0,6,6,82.41,71.39,88.96,480.8292,6,-1.38248920985662,-0.942077339240434,0.0211012480741791
"3",73101,4,6,1,3,1,3,4,4,0,6,6,54.55,57.68,81.92,609.8208,6,-0.792873876797397,1.1999243701099,0.0228289661089937
"4",73103,3,3,3,3,3,2,2,2,-1,6,1,68.88,47.42,56.57,490.4052,2,0.914436242482403,-0.562244012747661,-0.940400185068825
"5",73105,6,6,3,2,5,4,2,4,0,2,0,26.64,13.34,85.85,584.5465,6,1.11195196952821,0.56015092255695,0.553794608158519
"6",73107,6,6,2,1,4,1,3,3,-1,2,4,25.06,43.33,85.85,502.4043,1,-0.246971741009175,-0.19727250408195,0.553794608158519
"7",73108,5,5,2,2,3,3,3,3,0,6,2,81.05,22.57,73.91,547.8906,6,-0.0868735165116859,0.4989672074669,-0.123476447825085
"8",73109,4,6,3,1,3,2,2,2,0,2,2,16.5,51.5,51.5,496.6194,2,-0.111682483478705,-0.562244012747661,0.0228289661089937
"9",73110,3,3,3,3,3,1,1,3,-2,6,6,16.5,27.81,16.34,424.8422,1,0.914436242482403,-1.20089134693881,-0.940400185068825
"10",73111,6,5,2,2,2,3,3,3,-1,1,5,24.53,25.04,83.09,489.8557,6,-0.451687151752597,0.4989672074669,0.0211012480741791
"11",73115,3,3,3,2,3,3,3,3,-2,5,1,16.38,25.95,86.72,493.2207,6,0.400682026601553,0.4989672074669,-0.940400185068825
"12",73117,6,6,3,2,2,1,1,2,0,6,6,75.5,65.01,88.7,617.8286,6,0.0468140892868284,-1.35253152854004,0.553794608158519
"13",73119,3,5,4,4,4,3,3,3,0,2,1,26.64,30.78,80.92,631.3821,6,2.04129831335981,0.4989672074669,-0.371754739735541
"14",73120,6,6,1,1,1,3,3,3,0,2,1,16.38,22.77,78.76,581.3088,6,-2.244308447264,0.4989672074669,0.553794608158519
"15",73124,6,6,3,2,5,1,1,2,0,0,0,17,37.83,85.85,521.868,6,1.11195196952821,-1.35253152854004,0.553794608158519
"16",73125,6,6,2,1,1,3,3,3,0,6,6,71.39,57.03,79.05,451.3425,6,-1.38248920985662,0.4989672074669,0.553794608158519
"17",73129,4,3,3,3,3,2,2,2,-1,5,1,17,16.34,29.18,425.261,2,0.914436242482403,-0.562244012747661,-0.782927337634772
"18",73131,6,6,3,2,2,2,1,1,0,6,6,82.41,65.01,88.7,524.7399,6,0.0468140892868284,-1.15465056930886,0.553794608158519
"19",73133,3,1,5,4,3,1,1,2,0,4,2,28.48,57.03,80.46,438.4997,3,2.13502839379627,-1.35253152854004,-1.64709770664521
"20",73136,6,6,2,5,5,2,1,3,0,6,6,78.69,77.1,70.34,630.1639,6,1.96495307559985,-0.928008923961234,0.553794608158519
"21",73140,6,3,2,4,3,2,2,2,0,6,6,65.01,81.13,79.49,570.3476,6,0.938995075196844,-0.562244012747661,-0.499278759561961
"22",73142,5,5,2,2,3,2,2,3,0,6,6,79.74,85.41,79.74,586.2272,6,-0.0868735165116859,-0.329383646217568,-0.123476447825085
"23",73145,6,6,3,2,3,3,3,3,0,4,1,51.56,22.16,70.34,496.6135,6,0.400682026601553,0.4989672074669,0.553794608158519
"24",73148,6,6,2,3,1,2,2,2,0,6,6,44.94,85.41,81.92,547.0732,6,-0.290222614186354,-0.562244012747661,0.553794608158519
"25",73149,6,6,4,3,4,4,4,4,0,6,5,74.79,57.03,65.23,519.5507,6,1.66946197895088,1.61879374227692,0.553794608158519
"26",73150,6,6,1,5,1,1,1,1,0,6,6,76.49,60.92,88.7,714.0338,6,0.251929078890489,-1.69146723648415,0.553794608158519
"27",73151,5,4,2,2,2,1,2,1,0,1,2,23.47,43.33,79.05,565.0202,6,-0.451687151752597,-1.05404141957521,-0.373068066846296
"28",73152,2,6,2,2,2,2,2,2,0,1,0,16.38,33.76,29.18,477.7901,6,-0.451687151752597,-0.562244012747661,-0.248928815485956
"29",73154,3,3,3,3,4,2,1,2,0,3,3,57.99,33.76,76.65,577.0939,3,1.26065125212383,-1.04059489189381,-0.940400185068825
"30",73155,5,5,2,2,3,2,3,3,0,3,3,35.7,35.7,79.05,648.2917,6,-0.0868735165116859,0.0672090668826926,-0.123476447825085
"31",73156,6,6,2,1,2,3,3,2,0,2,2,26.64,17,86.72,576.4553,6,-0.98174169644885,0.242358991049589,0.553794608158519
"32",73157,4,6,2,2,2,3,1,3,0,6,6,55.25,50.37,85.85,505.4611,6,-0.451687151752597,-0.531125076547807,0.0228289661089937
"33",73158,6,6,3,2,3,4,3,2,-1,4,2,18.13,36.97,51.35,581.506,5,0.400682026601553,0.866196584111382,0.553794608158519
"34",73159,6,6,3,3,3,3,3,3,0,2,0,14.21,57.03,46.76,497.858,6,0.914436242482403,0.4989672074669,0.553794608158519
"35",73160,6,6,3,3,3,4,3,3,-1,2,2,28.48,30.78,78.17,382.9275,3,0.914436242482403,0.99119142392321,0.553794608158519
"36",73161,5,5,2,2,2,3,3,3,0,4,4,31.08,30.34,29.18,477.2372,3,-0.451687151752597,0.4989672074669,-0.123476447825085
"37",73162,6,6,3,3,3,2,2,2,0,4,3,36.92,14.21,74.66,620.1615,6,0.914436242482403,-0.562244012747661,0.553794608158519
"38",73163,6,6,4,2,2,3,4,4,0,6,6,26.64,72.83,75.13,562.8564,6,0.532177964642807,1.1999243701099,0.553794608158519
"39",73168,3,2,3,3,3,1,2,2,-1,2,2,31.08,28.52,50.9,412.1902,3,0.914436242482403,-0.942077339240434,-1.26355192734577
"40",73170,6,6,3,3,4,1,1,2,0,6,6,70.34,36.92,82.41,519.5525,6,1.26065125212383,-1.35253152854004,0.553794608158519
"41",73171,5,2,3,3,2,4,4,3,0,4,4,26.64,70.34,70.34,462.4535,6,0.556513263686608,1.38799038862918,-0.942115625898092
"42",73172,4,5,2,3,4,1,1,1,0,6,6,81.92,57.04,84.14,582.2399,6,0.780791114631594,-1.69146723648415,-0.250249580021204
"43",73174,6,6,1,1,1,3,3,3,0,6,6,16.5,57.03,80.46,553.8486,6,-2.244308447264,0.4989672074669,0.553794608158519
"44",73175,6,6,3,3,4,2,3,3,0,6,6,76.65,71.39,81.92,655.081,6,1.26065125212383,0.0672090668826926,0.553794608158519
"45",73176,6,5,1,3,2,1,1,3,-3,6,6,71.39,40.54,39.73,470.379,6,-0.426529995114967,-1.20089134693881,0.0211012480741791
"46",73178,4,4,3,3,4,3,1,4,-1,2,0,17,26.62,84.14,376.7213,5,1.26065125212383,-0.308083345181288,-0.497888870771127
"47",73179,3,3,1,2,3,2,3,3,0,6,3,75.54,25.95,88.31,551.7751,6,-0.58804166972774,0.0672090668826926,-0.940400185068825
"48",73180,2,3,3,2,3,1,2,2,0,2,0,24.98,55.03,88.7,546.9821,6,0.400682026601553,-0.942077339240434,-1.09982469592854
